date,steps,calories,distance,total_duration,sleep_score,sleep_deep_duration,sleep_light_duration,sleep_rem_duration,avg_stress,max_stress,min_stress,datetime,hour,day_of_week,is_weekend,week_of_year
2025-09-17,6889.0,276.0,4072.0,330.0,43.0,6.0,324.0,0.0,63.0,63.0,63.0,2025-09-17,0,2,0,38
2025-09-18,4414.0,181.0,2723.0,330.0,43.0,6.0,324.0,0.0,61.5,62.666666666666664,60.888888888888886,2025-09-18,0,3,0,38
2025-09-19,3974.0,147.0,2420.0,819.0,63.0,156.0,663.0,0.0,60.0,62.333333333333336,58.77777777777778,2025-09-19,0,4,0,38
2025-09-20,3159.0,125.0,1872.0,590.6666666666666,55.333333333333336,114.0,476.66666666666663,0.0,58.5,62.0,56.666666666666664,2025-09-20,0,5,1,38
2025-09-21,6252.0,254.0,3707.0,362.3333333333333,47.666666666666664,72.0,290.3333333333333,0.0,57.0,61.666666666666664,54.55555555555556,2025-09-21,0,6,1,38
2025-09-22,10571.0,394.0,6423.0,134.0,40.0,30.0,104.0,0.0,55.5,61.333333333333336,52.44444444444444,2025-09-22,0,0,0,39
2025-09-23,4615.0,191.0,2817.0,260.0,43.0,37.0,191.0,0.0,54.0,61.0,50.33333333333333,2025-09-23,0,1,0,39
2025-09-24,9411.0,378.0,5589.0,774.0,40.0,150.0,624.0,0.0,52.5,60.666666666666664,48.22222222222222,2025-09-24,0,2,0,39
2025-09-25,9138.0,344.0,5464.0,161.0,40.0,12.0,149.0,0.0,51.0,60.333333333333336,46.111111111111114,2025-09-25,0,3,0,39
2025-09-26,9888.0,393.0,5862.0,226.5,44.0,22.0,204.5,0.0,49.5,60.0,44.0,2025-09-26,0,4,0,39
2025-09-27,9600.0,368.0,5731.0,292.0,48.0,32.0,260.0,0.0,48.0,59.666666666666664,41.888888888888886,2025-09-27,0,5,1,39
2025-09-28,9617.0,384.0,5780.0,411.0,60.0,65.0,346.0,0.0,46.5,59.333333333333336,39.77777777777778,2025-09-28,0,6,1,39
2025-09-29,4518.0,183.0,2668.0,492.0,67.0,54.0,438.0,0.0,45.0,59.0,37.666666666666664,2025-09-29,0,0,0,40
2025-09-30,6226.0,250.0,3674.0,139.0,40.0,43.0,96.0,0.0,43.5,58.666666666666664,35.55555555555556,2025-09-30,0,1,0,40
2025-10-01,11661.0,473.0,6972.0,271.0,47.0,29.0,242.0,0.0,42.0,58.333333333333336,33.44444444444444,2025-10-01,0,2,0,40
2025-10-02,11355.0,454.0,6727.0,418.0,57.0,53.0,365.0,0.0,40.5,58.0,31.333333333333332,2025-10-02,0,3,0,40
2025-10-03,9174.0,357.0,5473.0,260.0,48.5,26.5,219.5,0.0,39.0,57.666666666666664,29.22222222222222,2025-10-03,0,4,0,40
2025-10-04,11069.0,429.0,6617.0,102.0,40.0,0.0,74.0,0.0,37.5,57.333333333333336,27.111111111111107,2025-10-04,0,5,1,40
2025-10-05,7110.0,284.0,4267.0,314.5,57.5,53.5,187.5,59.5,36.0,57.0,25.0,2025-10-05,0,6,1,40
2025-10-06,10803.0,419.0,6558.0,527.0,75.0,107.0,301.0,119.0,11.0,40.0,1.0,2025-10-06,0,0,0,41
2025-10-07,9539.0,389.0,5681.0,418.0,76.0,91.0,243.0,84.0,13.0,42.0,1.0,2025-10-07,0,1,0,41
2025-10-08,1119.0,53.0,667.0,417.5,71.0,89.0,273.5,55.0,39.0,45.0,33.0,2025-10-08,0,2,0,41
2025-10-09,4409.0,210.0,2717.0,417.0,66.0,87.0,304.0,26.0,20.0,52.0,2.0,2025-10-09,0,3,0,41
2025-10-10,9233.0,369.0,5477.0,445.0,40.0,18.0,255.0,172.0,25.0,59.0,6.0,2025-10-10,0,4,0,41
2025-10-11,14062.0,570.0,8476.0,434.3333333333333,50.333333333333336,32.333333333333336,258.3333333333333,131.0,43.0,58.0,34.0,2025-10-11,0,5,1,41
2025-10-12,10987.0,439.0,6545.0,423.6666666666667,60.66666666666667,46.66666666666667,261.6666666666667,90.0,28.0,49.0,12.0,2025-10-12,0,6,1,41
2025-10-13,7849.0,319.0,4696.0,413.0,71.0,61.0,265.0,49.0,18.0,47.0,4.0,2025-10-13,0,0,0,42
2025-10-14,5247.0,209.0,3096.0,440.0,69.0,49.333333333333336,295.0,57.333333333333336,25.5,46.0,11.5,2025-10-14,0,1,0,42
2025-10-15,6556.0,273.0,3911.0,467.0,67.0,37.66666666666667,325.0,65.66666666666667,33.0,45.0,19.0,2025-10-15,0,2,0,42
2025-10-16,4066.0,165.0,2412.0,494.0,65.0,26.0,355.0,74.0,17.0,48.0,3.0,2025-10-16,0,3,0,42
2025-10-17,8509.0,339.0,5054.0,438.0,79.0,79.0,262.0,97.0,15.0,34.0,4.0,2025-10-17,0,4,0,42
2025-10-18,7169.0,287.0,4307.0,361.0,65.0,73.0,206.0,82.0,17.0,54.0,1.0,2025-10-18,0,5,1,42
2025-10-19,2259.0,88.0,1360.0,503.0,72.0,57.0,360.0,86.0,15.0,37.0,3.0,2025-10-19,0,6,1,42
2025-10-20,7733.0,311.0,4569.0,307.0,56.0,70.0,194.0,43.0,33.0,46.0,27.0,2025-10-20,0,0,0,43
2025-10-21,15959.75,623.0,9434.0,111.0,40.0,83.0,28.0,0.0,21.0,40.0,3.0,2025-10-21,0,1,0,43
2025-10-22,8404.0,335.0,4969.0,231.0,53.0,76.5,101.5,38.0,34.0,59.0,14.0,2025-10-22,0,2,0,43
2025-10-23,8389.0,332.0,5157.0,351.0,66.0,70.0,175.0,76.0,11.0,30.0,1.0,2025-10-23,0,3,0,43
2025-10-24,7922.0,305.0,4746.0,547.0,55.0,67.0,436.0,44.0,24.0,41.0,1.0,2025-10-24,0,4,0,43
2025-10-25,14674.0,588.0,8690.0,219.0,48.0,27.0,127.0,65.0,11.0,38.0,1.0,2025-10-25,0,5,1,43
